"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_catamarca","vcr_catamarca","compatibilidad_con_catamarca","valor_estrategico_para_catamarca","indice_recuperacion_de_posiciones_catamarca","indice_oportunidades_cercanas_catamarca","indice_objetivos_factibles_catamarca","indice_apuestas_ambiciosas_catamarca","top_20_criterios_catamarca","empleo","empresas","tasa_fem"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.13143","2648","Creció / Se mantuvo","4238686.86612","0","0.00000","0.78978","-0.57247","0","0.42521","0.17481","-0.05353","","216","34","0.10050"
"170260","Fructose, syrup >50% fructose, not pure","Las demas fructosas y jarabe de fructosa, con contenido fructosa s, en","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.41170","1758","Decreció / Decreció","1572920.39617","0","0.00000","2.46049","-2.06682","0","1.35015","0.56861","-0.08900","","0","0","0.13127"
"10120","Other equine","Asnos, mulos y burdeganos, vivos.","Agricultura"," I Animales vivos; productos animales","-0.60676","3328","Decreció / Decreció","24348.88798","0","0.00000","0.39393","-0.75936","0","0.06320","-0.15983","-0.37523","","216","34","0.10050"
"10210","Bovine, pure-bred","Bovinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","-0.15285","2685","Decreció / Decreció","7674551.44536","0","0.00000","1.15071","0.12131","0","0.81447","0.59488","0.36159","","216","34","0.10050"
"10290","Bovine, not pure-bred","Los demas bovinos vivos.","Agricultura"," I Animales vivos; productos animales","-0.46784","3145","Creció / Decreció","54545867.79508","0","0.00000","1.79210","-0.29506","0","1.14868","0.72260","0.28789","","216","34","0.10050"
"30310","Pacific salmon, frozen","Salmones del pacifico congelado, excluidos filetes, higados, huevas y","Agricultura"," I Animales vivos; productos animales","0.32706","1907","Creció mucho / Creció mucho","14178271.33333","0","0.00000","2.00071","-2.73701","0","0.88580","0.09146","-0.54968","","s.d.","s.d.","0.32462"
"230330","Brewing/distilling dregs","Heces y desperdicios de ceverceria y desteleria.","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.18613","2165","Decreció mucho / Decreció mucho","5517951.74044","0","0.00000","1.76502","-1.18156","0","1.01781","0.49688","0.04434","","s.d.","s.d.","0.16378"
"100300","Barley","Cebada","Agricultura"," II Productos vegetales","0.13947","2243","Decreció mucho / Decreció mucho","-446768054.42896","0","0.00000","1.46289","-0.05455","0","1.02706","0.73327","0.44919","","1151","106","0.11081"
"10410","Sheep","Ovinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.08322","3923","Decreció / Decreció","10019052.89344","0","0.00000","2.09989","-1.22948","0","1.11570","0.45714","-0.19411","","216","34","0.10050"
"10420","Goats","Caprinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.52979","4317","Decreció / Decreció","912501.08470","0","0.00000","2.44406","-1.58683","0","1.24049","0.43717","-0.36330","","216","34","0.10050"
"10511","Domestic fowls < 185 g","Pollitos del genero gallus domesticus de peso inferior o igual a 185 g","Agricultura"," I Animales vivos; productos animales","-0.35794","2998","Creció / Creció","8834199.56011","0","0.00000","1.32341","0.36071","0","0.96273","0.73426","0.46986","","12","6","0.09681"
"284011","Disodium tetraborate, anhydrous","Tetraborato de disodio (borax refinado), anhidro.","Químicos"," VI Productos químicos y aliados","0.07595","2336","Creció / Se mantuvo","206973.24317","0","0.00000","1.29406","-1.51024","0","0.61139","0.12984","-0.27240","","s.d.","s.d.","0.14976"
"481840","Paper sanitary towels, diapers","Pañales, toallas y tampones higienicos y articulos higienicos similare","Agricultura"," X Pasta de madera u otras materias fibrosas celulosicas. Papel y carbón, y sus recuperados y manufacturas","0.02583","2416","Decreció / Decreció mucho","22840991.07650","0.287266592184703","0.00000","1.28319","0.28254","0","0.95732","0.74436","0.51856","","s.d.","s.d.","0.20466"
"10599","Other poultry > 185 g","Los demas gallos, gallinas, patos, pavos de peso superior a 185 g","Agricultura"," I Animales vivos; productos animales","-0.14484","2673","Decreció / Decreció","1916915.23497","0","0.00000","0.37978","-0.00582","0","0.25020","0.16613","0.07511","","12","6","0.09681"
"10600","Non-farm animals","Los demas animales vivos.","Agricultura"," I Animales vivos; productos animales","-1.41432","4229","Decreció / Decreció","4574940.22404","0","0.00000","2.01294","-0.90294","0","1.08704","0.47829","-0.15602","","12","6","0.09681"
"120922","Seed, clover","Semilla de trebol","Agricultura"," II Productos vegetales","0.16423","2207","Creció / Se mantuvo","-3090729.59290","1435.66630045573","0.38880","1.24230","0.39604","0","0.96524","0.78440","0.59197","Trayectoria productiva","1151","106","0.11081"
"330749","Room perfuming","Preparaciones para perfumar o desodorizar locales que actúan por combustión","Químicos"," VI Productos químicos y aliados","0.01464","2432","Creció / Creció","4010724.05738","0","0.00000","1.23019","1.15246","0","1.09309","1.02065","0.89132","Objetivos factibles","s.d.","s.d.","0.34836"
"20130","Boneless beef","Carne de bovinos deshuesada, fresca o refrigerada.","Agricultura"," I Animales vivos; productos animales","-0.23232","2819","Creció mucho / Creció mucho","-527404279.37432","68.1679382324219","0.00018","1.80924","-0.66424","0","1.11039","0.63729","0.18579","","252","7","0.09596"
"20210","Bovine carcasses, frozen","Carne de bovinos en canales o medios canales, congelada.","Agricultura"," I Animales vivos; productos animales","-0.91864","3719","Decreció / Decreció","-12688104.98361","0","0.00000","2.36229","-0.67886","0","1.42597","0.80575","0.17354","","252","7","0.09596"
"20220","Bone-in beef, frozen","Carne bovina en trozos sin deshuesar, congelada.","Agricultura"," I Animales vivos; productos animales","-0.80983","3573","Creció mucho / Creció","-8006668.50820","0","0.00003","3.07150","-1.11326","0","1.84641","1.02463","0.21802","Objetivos factibles","252","7","0.09596"
"20230","Boneless beef, frozen","Carne de bovinos deshuesada, congelada.","Agricultura"," I Animales vivos; productos animales","-0.75949","3505","Creció mucho / Creció mucho","-1015280903.01913","64.393793741862","0.00013","2.26150","-1.56765","0","1.19357","0.46815","-0.21687","","252","7","0.09596"
