"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_corrientes","vcr_corrientes","compatibilidad_con_corrientes","valor_estrategico_para_corrientes","indice_recuperacion_de_posiciones_corrientes","indice_oportunidades_cercanas_corrientes","indice_objetivos_factibles_corrientes","indice_apuestas_ambiciosas_corrientes","top_20_criterios_corrientes","empleo","empresas","tasa_fem"
"300210","Antisera and blood fractions","Sueros especificos de animales o de personas inmunizados y demas compo","Químicos"," VI Productos químicos y aliados","1.07577","690","Decreció mucho / Decreció mucho","-16444463.18579","20.84568","0.00100","0.50001","-0.07411","0","0.44276","0.38543","0.38559","","141","25","0.34344"
"10310","Swine, pure-bred","Porcinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","0.42874","1735","Creció / Creció","1694539.52732","0.00000","0.00000","-0.19427","-0.56627","0","-0.20637","-0.23102","-0.20592","","60","11","0.09681"
"10391","Swine < 50 kg, not pure-bred","Los demas porcinos de peso inferior a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.93345","901","Creció / Creció","13490671.86885","0.00000","0.00000","-0.41115","-1.58714","0","-0.51189","-0.62106","-0.60420","","60","11","0.09681"
"293799","Hormones","Las demas hormonas y sus derivados; esteroides utilizados como hormona","Químicos"," VI Productos químicos y aliados","0.77748","1148","Decreció mucho / Decreció mucho","-146231395.89344","0.00000","0.00000","1.01024","-1.21193","0","0.54253","0.19757","-0.04793","","141","25","0.34344"
"10519","Other poultry < 185 g","Los demas pollitos de peso inferior o igual 185 g., vivos","Agricultura"," I Animales vivos; productos animales","0.51163","1611","Se mantuvo / Decreció","1614155.79235","0.00000","0.00000","-0.56867","0.12078","0","-0.32275","-0.16532","0.01166","","60","11","0.09681"
"10599","Other poultry > 185 g","Los demas gallos, gallinas, patos, pavos de peso superior a 185 g","Agricultura"," I Animales vivos; productos animales","-0.14484","2673","Decreció / Decreció","1916915.23497","0.00000","0.00000","0.47108","-0.02577","0","0.31012","0.20480","0.09352","","60","11","0.09681"
"20110","Bovine carcasses","Carne de bovinos en canales o medios canales, fresca o refrigerada.","Agricultura"," I Animales vivos; productos animales","0.03403","2404","Decreció mucho / Decreció mucho","13744469.86612","0.00000","0.00000","0.20110","0.89656","0","0.32349","0.41945","0.47229","","154","15","0.09596"
"284019","Disodium tetraborate, hydrated","Los demas tetraboratos de disodio (borax refinado)","Químicos"," VI Productos químicos y aliados","0.76200","1176","Decreció / Decreció","-172493.72404","0.02975","0.00000","0.58781","-1.26291","0","0.23508","-0.03381","-0.20147","","s.d.","s.d.","0.14976"
"20311","Swine carcasses","Carne de porcino fresca o refrigerada, en canales o medios canales","Agricultura"," I Animales vivos; productos animales","0.80610","1102","Decreció / Decreció","10434648.10929","0.00000","0.00000","-0.19419","1.15257","0","0.17519","0.42722","0.66192","","154","15","0.09596"
"20312","Ham and pork shoulder","Jamones, paletas y sus trozos, sin deshuesar, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","1.36168","350","Decreció mucho / Decreció mucho","28667260.19399","0.00000","0.00000","-0.44866","0.88582","0","-0.00073","0.28996","0.60444","","154","15","0.09596"
"20319","Other pork","Las demas carnes de porcinos, frescas o refrigeradas.","Agricultura"," I Animales vivos; productos animales","1.20339","542","Creció mucho / Decreció","69969963.36885","0.00000","0.00000","-0.39985","0.70190","0","-0.01918","0.22625","0.49675","","154","15","0.09596"
"20322","Ham and pork shoulder, frozen","Jamones, paletas y sus trozos, congelados sin deshuesar","Agricultura"," I Animales vivos; productos animales","0.73039","1234","Creció mucho / Creció","4301511.52186","0.00000","0.00000","0.67652","0.25351","0","0.59731","0.53655","0.49964","","154","15","0.09596"
"470321","Chem wood pulp, sulphate, conifer, bleached","Pasta quimica de madera de coniferas semiblanqueadas o blanqueadas","Agricultura"," X Pasta de madera u otras materias fibrosas celulosicas. Papel y carbón, y sus recuperados y manufacturas","0.64820","1369","Creció mucho / Creció mucho","-3330985.38251","0.00000","0.00000","0.93430","-0.79689","0","0.55945","0.28547","0.08374","","s.d.","s.d.","0.08658"
"20329","Other pork, frozen","Las demas carnes de porcino, congeladas.","Agricultura"," I Animales vivos; productos animales","0.69938","1279","Creció mucho / Creció mucho","82560528.31967","0.00000","0.00000","0.20723","0.62954","0","0.34091","0.42886","0.52031","","154","15","0.09596"
"40410","Whey","Lactosuero, incluso concentrado, azucarado o edulcorado de otro modo.","Agricultura"," I Animales vivos; productos animales","0.63122","1394","Decreció mucho / Decreció mucho","-43850583.90164","0.00000","0.00000","0.81561","0.99503","0","0.83305","0.85075","0.85025","","707","21","0.14511"
