"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_entre_rios","vcr_entre_rios","compatibilidad_con_entre_rios","valor_estrategico_para_entre_rios","indice_recuperacion_de_posiciones_entre_rios","indice_oportunidades_cercanas_entre_rios","indice_objetivos_factibles_entre_rios","indice_apuestas_ambiciosas_entre_rios","top_20_criterios_entre_rios","empleo","empresas","tasa_fem"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.13143","2648","Creció / Se mantuvo","4238686.86612","504075.20346","4.47142","2.07008","-0.62579","0","","","","","5742","1663","0.10050"
"10119","Horses, not pure-bred","Los demas caballos vivos.","Agricultura"," I Animales vivos; productos animales","0.25748","2016","Creció mucho / Creció mucho","-10367234.86339","1171698.75000","12.87299","1.51041","0.46693","0","","","","","5742","1663","0.10050"
"10120","Other equine","Asnos, mulos y burdeganos, vivos.","Agricultura"," I Animales vivos; productos animales","-0.60676","3328","Decreció / Decreció","24348.88798","0.00000","0.00000","0.30170","-0.76212","0","-0.00191","-0.14595","-0.40413","","5742","1663","0.10050"
"10210","Bovine, pure-bred","Bovinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","-0.15285","2685","Decreció / Decreció","7674551.44536","38611.15755","0.45692","1.74242","0.06496","0","1.21740","0.94400","0.51374","","5742","1663","0.10050"
"10290","Bovine, not pure-bred","Los demas bovinos vivos.","Agricultura"," I Animales vivos; productos animales","-0.46784","3145","Creció / Decreció","54545867.79508","278.66167","0.00054","1.99880","-0.34660","0","1.28305","0.91912","0.32671","","5742","1663","0.10050"
"10310","Swine, pure-bred","Porcinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","0.42874","1735","Creció / Creció","1694539.52732","0.00000","0.00000","0.58949","-0.58232","0","0.33905","0.26439","0.02199","","1913","218","0.09681"
"10391","Swine < 50 kg, not pure-bred","Los demas porcinos de peso inferior a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.93345","901","Creció / Creció","13490671.86885","0.00000","0.00000","0.76527","-1.60552","0","0.30793","0.20621","-0.25954","","1913","218","0.09681"
"10392","Swine > 50 kg, not pure-bred","Los demas porcinos de peso superior o igual a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.44484","1705","Decreció mucho / Decreció mucho","14286729.15847","5581.28613","0.04113","0.63031","0.95535","0","0.67677","0.67448","0.73021","","1913","218","0.09681"
"10410","Sheep","Ovinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.08322","3923","Decreció / Decreció","10019052.89344","1426.60009","0.01458","1.67453","-1.25508","0","0.81283","0.39058","-0.33323","","5742","1663","0.10050"
"10420","Goats","Caprinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.52979","4317","Decreció / Decreció","912501.08470","0.00000","0.00000","1.96689","-1.61165","0","0.90151","0.37292","-0.51762","","5742","1663","0.10050"
"10511","Domestic fowls < 185 g","Pollitos del genero gallus domesticus de peso inferior o igual a 185 g","Agricultura"," I Animales vivos; productos animales","-0.35794","2998","Creció / Creció","8834199.56011","54643.98047","0.56796","1.48039","0.31350","0","1.06318","0.82100","0.49570","","1913","218","0.09681"
"10519","Other poultry < 185 g","Los demas pollitos de peso inferior o igual 185 g., vivos","Agricultura"," I Animales vivos; productos animales","0.51163","1611","Se mantuvo / Decreció","1614155.79235","0.00000","0.00000","0.04446","0.11220","0","0.10472","0.15483","0.19173","","1913","218","0.09681"
"10591","Domestic fowls > 185 g","Pollitos del genero gallus domesticus de peso superior a 185 g","Agricultura"," I Animales vivos; productos animales","0.17437","2191","Decreció / Decreció","8481154.23497","285.08287","0.00358","0.37464","0.37084","0","0.35385","0.33364","0.32286","","1913","218","0.09681"
"10599","Other poultry > 185 g","Los demas gallos, gallinas, patos, pavos de peso superior a 185 g","Agricultura"," I Animales vivos; productos animales","-0.14484","2673","Decreció / Decreció","1916915.23497","0.00000","0.00000","1.07760","-0.04381","0","0.73108","0.55276","0.26736","","1913","218","0.09681"
