"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_formosa","vcr_formosa","compatibilidad_con_formosa","valor_estrategico_para_formosa","indice_recuperacion_de_posiciones_formosa","indice_oportunidades_cercanas_formosa","indice_objetivos_factibles_formosa","indice_apuestas_ambiciosas_formosa","top_20_criterios_formosa","empleo","empresas","tasa_fem"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.13143","2648","Creció / Se mantuvo","4238686.86612","3840.41276","0.67694","2.20934","-0.58542","1","1.41631","0.88006","0.36651","Recuperación de posiciones, Trayectoria productiva","1390","324","0.10050"
"10119","Horses, not pure-bred","Los demas caballos vivos.","Agricultura"," I Animales vivos; productos animales","0.25748","2016","Creció mucho / Creció mucho","-10367234.86339","8185.72786","1.78708","1.73803","0.51110","0","","","","","1390","324","0.10050"
"10120","Other equine","Asnos, mulos y burdeganos, vivos.","Agricultura"," I Animales vivos; productos animales","-0.60676","3328","Decreció / Decreció","24348.88798","0.00000","0.00000","0.79377","-0.76261","0","0.34244","0.03896","-0.25673","","1390","324","0.10050"
"10210","Bovine, pure-bred","Bovinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","-0.15285","2685","Decreció / Decreció","7674551.44536","202.85023","0.04770","1.33260","0.12009","0","0.94155","0.68541","0.41561","","1390","324","0.10050"
"10290","Bovine, not pure-bred","Los demas bovinos vivos.","Agricultura"," I Animales vivos; productos animales","-0.46784","3145","Creció / Decreció","54545867.79508","0.00000","0.00000","1.89948","-0.29627","0","1.22360","0.77587","0.31956","","1390","324","0.10050"
"10310","Swine, pure-bred","Porcinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","0.42874","1735","Creció / Creció","1694539.52732","0.00000","0.00000","0.17186","-0.56948","0","0.04928","-0.04908","-0.09752","","31","4","0.09681"
"10391","Swine < 50 kg, not pure-bred","Los demas porcinos de peso inferior a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.93345","901","Creció / Creció","13490671.86885","0.00000","0.00000","0.49138","-1.60248","0","0.11682","-0.17516","-0.34034","","31","4","0.09681"
"10392","Swine > 50 kg, not pure-bred","Los demas porcinos de peso superior o igual a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.44484","1705","Decreció mucho / Decreció mucho","14286729.15847","34.96644","0.00512","-0.03027","0.99260","0","0.22181","0.39900","0.54880","","31","4","0.09681"
"10410","Sheep","Ovinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.08322","3923","Decreció / Decreció","10019052.89344","2.74278","0.00056","1.69530","-1.22794","0","0.83280","0.25538","-0.31479","","1390","324","0.10050"
"10420","Goats","Caprinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.52979","4317","Decreció / Decreció","912501.08470","0.00000","0.00000","2.52639","-1.58989","0","1.29752","0.47727","-0.33998","","1390","324","0.10050"
"10511","Domestic fowls < 185 g","Pollitos del genero gallus domesticus de peso inferior o igual a 185 g","Agricultura"," I Animales vivos; productos animales","-0.35794","2998","Creció / Creció","8834199.56011","390.99079","0.08075","0.96358","0.36463","1","0.71164","0.55572","0.36367","Recuperación de posiciones","31","4","0.09681"
"10519","Other poultry < 185 g","Los demas pollitos de peso inferior o igual 185 g., vivos","Agricultura"," I Animales vivos; productos animales","0.51163","1611","Se mantuvo / Decreció","1614155.79235","0.00000","0.00000","-0.04490","0.11618","0","0.04297","0.09496","0.16672","","31","4","0.09681"
"10591","Domestic fowls > 185 g","Pollitos del genero gallus domesticus de peso superior a 185 g","Agricultura"," I Animales vivos; productos animales","0.17437","2191","Decreció / Decreció","8481154.23497","0.00000","0.00000","-0.14543","0.39258","0","-0.00585","0.09084","0.17662","","31","4","0.09681"
"10599","Other poultry > 185 g","Los demas gallos, gallinas, patos, pavos de peso superior a 185 g","Agricultura"," I Animales vivos; productos animales","-0.14484","2673","Decreció / Decreció","1916915.23497","0.00000","0.00000","0.83415","-0.01059","0","0.56731","0.39165","0.20927","","31","4","0.09681"
"10600","Non-farm animals","Los demas animales vivos.","Agricultura"," I Animales vivos; productos animales","-1.41432","4229","Decreció / Decreció","4574940.22404","365.49321","0.09317","1.80838","-0.90338","1","0.94376","0.37586","-0.21758","Recuperación de posiciones","31","4","0.09681"
"20110","Bovine carcasses","Carne de bovinos en canales o medios canales, fresca o refrigerada.","Agricultura"," I Animales vivos; productos animales","0.03403","2404","Decreció mucho / Decreció mucho","13744469.86612","0.00000","0.00000","0.38039","0.91726","0","0.45313","0.51634","0.53539","","121","9","0.09596"
"20120","Bone-in beef","Carne de bovinos en trozos sin deshuesar, fresca o refrigerada.","Agricultura"," I Animales vivos; productos animales","0.02714","2413","Creció / Decreció","30879078.60383","0.00000","0.00000","0.90692","0.67039","0","0.77163","0.69217","0.58053","","121","9","0.09596"
"20130","Boneless beef","Carne de bovinos deshuesada, fresca o refrigerada.","Agricultura"," I Animales vivos; productos animales","-0.23232","2819","Creció mucho / Creció mucho","-527404279.37432","0.00000","0.00000","3.24893","-0.67617","0","2.11578","1.35296","0.61232","Objetivos factibles","121","9","0.09596"
"20210","Bovine carcasses, frozen","Carne de bovinos en canales o medios canales, congelada.","Agricultura"," I Animales vivos; productos animales","-0.91864","3719","Decreció / Decreció","-12688104.98361","0.00000","0.00000","3.26990","-0.68778","0","2.05951","1.25643","0.44181","","121","9","0.09596"
"20220","Bone-in beef, frozen","Carne de bovinos en trozos sin deshuesar, congelada.","Agricultura"," I Animales vivos; productos animales","-0.80983","3573","Creció mucho / Creció","-8006668.50820","0.00000","0.00000","3.92194","-1.11796","0","2.44078","1.44821","0.47104","Oportunidades cercanas, Objetivos factibles","121","9","0.09596"
"20230","Boneless beef, frozen","Carne de bovinos deshuesada, congelada.","Agricultura"," I Animales vivos; productos animales","-0.75949","3505","Creció mucho / Creció mucho","-1015280903.01913","0.00000","0.00000","4.61817","-1.58241","0","2.84029","1.64132","0.48349","Oportunidades cercanas, Objetivos factibles","121","9","0.09596"
"20311","Swine carcasses","Carne de porcino fresca o refrigerada, en canales o medios canales","Agricultura"," I Animales vivos; productos animales","0.80610","1102","Decreció / Decreció","10434648.10929","0.00000","0.00000","0.06494","1.16590","0","0.35925","0.56145","0.74566","","121","9","0.09596"
"20312","Ham and pork shoulder","Jamones, paletas y sus trozos, sin deshuesar, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","1.36168","350","Decreció mucho / Decreció mucho","28667260.19399","0.00000","0.00000","0.27904","0.88022","0","0.50754","0.65185","0.82023","","121","9","0.09596"
"20319","Other pork","Las demas carnes de porcinos, frescas o refrigeradas.","Agricultura"," I Animales vivos; productos animales","1.20339","542","Creció mucho / Decreció","69969963.36885","0.00000","0.00000","0.25215","0.69871","0","0.43659","0.55113","0.69091","","121","9","0.09596"
"20321","Swine carcasses, frozen","Carne de porcinos en canales o medios canales, congelada.","Agricultura"," I Animales vivos; productos animales","-0.11943","2626","Creció mucho / Creció","-1454760.85246","0.00000","0.00000","0.95164","-0.27706","0","0.59879","0.36093","0.13096","","121","9","0.09596"
"20322","Ham and pork shoulder, frozen","Jamones, paletas y sus trozos, congelados sin deshuesar","Agricultura"," I Animales vivos; productos animales","0.73039","1234","Creció mucho / Creció","4301511.52186","0.00000","0.00000","1.52241","0.26940","0","1.19261","0.96505","0.76055","","121","9","0.09596"
"20329","Other pork, frozen","Las demas carnes de porcino, congeladas.","Agricultura"," I Animales vivos; productos animales","0.69938","1279","Creció mucho / Creció mucho","82560528.31967","0.00000","0.00000","0.67324","0.64357","0","0.66992","0.66677","0.66642","","121","9","0.09596"
