"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp_","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_la_pampa","vcr_la_pampa","compatibilidad_con_la_pampa","valor_estrategico_para_la_pampa","indice_recuperacion_de_posiciones_la_pampa","indice_oportunidades_cercanas_la_pampa","indice_objetivos_factibles_la_pampa","indice_apuestas_ambiciosas_la_pampa","top_20_criterios_la_pampa","empleo","empresas","tasa_fem"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.131425","2648","Creció / Se mantuvo","4238686.866120","3987.080078","0.093318","2.256703","-0.594504","0","1.447648","0.900561","0.376628","","3117","1145","0.100505"
"10119","Horses, not pure-bred","Los demas caballos vivos.","Agricultura"," I Animales vivos; productos animales","0.257480","2016","Creció mucho / Creció mucho","-10367234.863388","8498.345052","0.246354","1.611927","0.499426","0","1.253982","1.019384","0.772690","","3117","1145","0.100505"
"10120","Other equine","Asnos, mulos y burdeganos, vivos.","Agricultura"," I Animales vivos; productos animales","-0.606761","3328","Decreció / Decreció","24348.887978","0.000000","0.000000","0.440366","-0.761140","0","0.095352","-0.137230","-0.362093","","3117","1145","0.100505"
"10210","Bovine, pure-bred","Bovinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","-0.152846","2685","Decreció / Decreció","7674551.445355","210.597188","0.006576","1.635313","0.105341","0","1.150502","0.831599","0.499786","","3117","1145","0.100505"
"10290","Bovine, not pure-bred","Los demas bovinos vivos.","Agricultura"," I Animales vivos; productos animales","-0.467838","3145","Creció / Decreció","54545867.795082","0.000000","0.000000","2.197150","-0.310165","0","1.429189","0.919842","0.402611","","3117","1145","0.100505"
"10310","Swine, pure-bred","Porcinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","0.428743","1735","Creció / Creció","1694539.527322","0.000000","0.000000","0.484007","-0.573811","0","0.266917","0.105481","-0.005827","","78","32","0.096809"
"10391","Swine < 50 kg, not pure-bred","Los demas porcinos de peso inferior a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.933454","901","Creció / Creció","13490671.868852","0.000000","0.000000","1.095740","-1.604582","0","0.539447","0.126284","-0.159976","","78","32","0.096809"
"10392","Swine > 50 kg, not pure-bred","Los demas porcinos de peso superior o igual a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.444844","1705","Decreció mucho / Decreció mucho","14286729.158470","36.301824","0.000706","0.435874","0.978665","0","0.545329","0.627196","0.682372","","78","32","0.096809"
"10410","Sheep","Ovinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.083225","3923","Decreció / Decreció","10019052.893443","2.847529","0.000077","1.878616","-1.233727","0","0.959963","0.345020","-0.262399","","3117","1145","0.100505"
"10420","Goats","Caprinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.529791","4317","Decreció / Decreció","912501.084699","0.000000","0.000000","2.602209","-1.594597","0","1.349648","0.513527","-0.319354","","3117","1145","0.100505"
"10511","Domestic fowls < 185 g","Pollitos del genero gallus domesticus de peso inferior o igual a 185 g","Agricultura"," I Animales vivos; productos animales","-0.357944","2998","Creció / Creció","8834199.560109","405.922938","0.011132","1.229324","0.352256","0","0.895184","0.684260","0.437827","","78","32","0.096809"
"10519","Other poultry < 185 g","Los demas pollitos de peso inferior o igual 185 g., vivos","Agricultura"," I Animales vivos; productos animales","0.511629","1611","Se mantuvo / Decreció","1614155.792350","0.000000","0.000000","0.150137","0.110538","0","0.178366","0.190501","0.222690","","78","32","0.096809"
"10591","Domestic fowls > 185 g","Pollitos del genero gallus domesticus de peso superior a 185 g","Agricultura"," I Animales vivos; productos animales","0.174366","2191","Decreció / Decreció","8481154.234973","0.000000","0.000000","0.445484","0.381385","0","0.405552","0.382382","0.348860","","78","32","0.096809"
"10599","Other poultry > 185 g","Los demas gallos, gallinas, patos, pavos de peso superior a 185 g","Agricultura"," I Animales vivos; productos animales","-0.144839","2673","Decreció / Decreció","1916915.234973","0.000000","0.000000","1.057670","-0.019952","0","0.721895","0.500126","0.272113","","78","32","0.096809"
"10600","Non-farm animals","Los demas animales vivos.","Agricultura"," I Animales vivos; productos animales","-1.414316","4229","Decreció / Decreció","4574940.224044","379.451593","0.012843","2.010575","-0.910747","0","1.083821","0.474378","-0.160243","","78","32","0.096809"
"20110","Bovine carcasses","Carne de bovinos en canales o medios canales, fresca o refrigerada.","Agricultura"," I Animales vivos; productos animales","0.034035","2404","Decreció mucho / Decreció mucho","13744469.866120","0.000000","0.000000","0.862294","0.901069","0","0.787223","0.751626","0.672678","","1694","25","0.095963"
"20120","Bone-in beef","Carne de bovinos en trozos sin deshuesar, fresca o refrigerada.","Agricultura"," I Animales vivos; productos animales","0.027135","2413","Creció / Decreció","30879078.603825","259056.015625","2.215088","1.335578","0.653241","0","","","","","1694","25","0.095963"
"20130","Boneless beef","Carne de bovinos deshuesada, fresca o refrigerada.","Agricultura"," I Animales vivos; productos animales","-0.232316","2819","Creció mucho / Creció mucho","-527404279.374317","33588921.333333","79.049647","3.841262","-0.699428","0","","","","","1694","25","0.095963"
"20210","Bovine carcasses, frozen","Carne de bovinos en canales o medios canales, congelada.","Agricultura"," I Animales vivos; productos animales","-0.918639","3719","Decreció / Decreció","-12688104.983607","0.000000","0.000000","3.460594","-0.705380","0","2.189476","1.345618","0.491097","Oportunidades cercanas, Objetivos factibles","1694","25","0.095963"
"20220","Bone-in beef, frozen","Carne de bovinos en trozos sin deshuesar, congelada.","Agricultura"," I Animales vivos; productos animales","-0.809826","3573","Creció mucho / Creció","-8006668.508197","972027.677938","18.769018","4.315352","-1.138572","0","","","","","1694","25","0.095963"
"20230","Boneless beef, frozen","Carne de bovinos deshuesada, congelada.","Agricultura"," I Animales vivos; productos animales","-0.759492","3505","Creció mucho / Creció mucho","-1015280903.019130","27311587.666667","48.078883","4.746472","-1.597738","0","","","","","1694","25","0.095963"
"20311","Swine carcasses","Carne de porcino fresca o refrigerada, en canales o medios canales","Agricultura"," I Animales vivos; productos animales","0.806095","1102","Decreció / Decreció","10434648.109290","0.000000","0.000000","0.667532","1.146120","0","0.777106","0.855822","0.917537","","1694","25","0.095963"
"20312","Ham and pork shoulder","Jamones, paletas y sus trozos, sin deshuesar, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","1.361683","350","Decreció mucho / Decreció mucho","28667260.193989","0.000000","0.000000","0.458935","0.871830","0","0.631789","0.738861","0.870425","","1694","25","0.095963"
"20319","Other pork","Las demas carnes de porcinos, frescas o refrigeradas.","Agricultura"," I Animales vivos; productos animales","1.203393","542","Creció mucho / Decreció","69969963.368852","0.000000","0.000000","0.679992","0.685946","0","0.733523","0.760586","0.813522","","1694","25","0.095963"
"20321","Swine carcasses, frozen","Carne de porcinos en canales o medios canales, congelada.","Agricultura"," I Animales vivos; productos animales","-0.119425","2626","Creció mucho / Creció","-1454760.852459","0.000000","0.000000","1.043648","-0.284025","0","0.661806","0.404502","0.155427","","1694","25","0.095963"
"20322","Ham and pork shoulder, frozen","Jamones, paletas y sus trozos, congelados sin deshuesar","Agricultura"," I Animales vivos; productos animales","0.730394","1234","Creció mucho / Creció","4301511.521858","0.000000","0.000000","1.779450","0.254396","0","1.369534","1.088323","0.830912","","1694","25","0.095963"
"20329","Other pork, frozen","Las demas carnes de porcino, congeladas.","Agricultura"," I Animales vivos; productos animales","0.699375","1279","Creció mucho / Creció mucho","82560528.319672","8.200000","0.000025","1.142118","0.626133","0","0.994647","0.895112","0.799239","","1694","25","0.095963"
"20410","Lamb carcasses","Canales o medios canales de cordero, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","-0.980285","3794","Creció / Creció","6572914.931694","0.000000","0.000000","2.340199","-1.042171","0","1.331676","0.658297","-0.011989","","1694","25","0.095963"
"20421","Sheep carcasses","Las demas carnes de ovinos, en canales o medios canales, frescas o ref","Agricultura"," I Animales vivos; productos animales","-1.151394","3986","Creció / Se mantuvo","2672355.502732","0.000000","0.000000","2.062728","-0.979981","0","1.132774","0.515662","-0.110022","","1694","25","0.095963"
"20422","Mutton, bone-in","Los demas cortes de ovinos, sin deshuesar, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","-1.099071","3938","Creció / Decreció","7565084.907104","0.000000","0.000000","3.137233","-2.743511","0","1.537454","0.443527","-0.568177","","1694","25","0.095963"
"20423","Mutton, boneless","Las demas carnes de ovinos, deshuesadas, frescas o refrigeradas.","Agricultura"," I Animales vivos; productos animales","0.325353","1911","Creció / Se mantuvo","3357989.322404","0.000000","0.000000","2.733095","-2.966958","0","1.352310","0.376915","-0.433864","","1694","25","0.095963"
"20430","Lamb carcasses, frozen","Carne de cordero congelada, en canales o medios canales","Agricultura"," I Animales vivos; productos animales","-0.930832","3733","Decreció / Decreció","-2257556.565574","0.000000","0.000000","3.854083","-1.246753","0","2.355425","1.351053","0.362478","Oportunidades cercanas, Objetivos factibles","1694","25","0.095963"
"20441","Sheep carcasses, frozen","Las demas carnes de ovinos congelada en canales o medios canales.","Agricultura"," I Animales vivos; productos animales","-1.687715","4414","Decreció / Decreció","1151822.680328","0.000000","0.000000","3.863068","-2.134622","0","2.108452","0.931259","-0.223588","Oportunidades cercanas","1694","25","0.095963"
"20442","Mutton, bone-in, frozen","Los demas cortes (trozos) de carne de ovinos congelada,sin deshuesar","Agricultura"," I Animales vivos; productos animales","-1.595642","4367","Creció mucho / Creció mucho","11907148.975410","0.000000","0.000000","8.264198","-3.302391","0","4.964896","2.736916","0.594273","Oportunidades cercanas, Objetivos factibles","1694","25","0.095963"
"20443","Mutton, boneless, frozen","Las demas carnes de la especie ovina deshuesada, congelada","Agricultura"," I Animales vivos; productos animales","-0.798641","3558","Creció / Creció","5408708.959016","0.000000","0.000000","2.896126","-2.099647","0","1.527495","0.593390","-0.275664","","1694","25","0.095963"
"20450","Goat meat","Carne de animales de la especie caprina, fresca, refrigerada o congela","Agricultura"," I Animales vivos; productos animales","-1.763812","4453","Decreció / Decreció","1941706.415301","59728.494792","6.596395","2.794406","-1.707525","0","","","","","1694","25","0.095963"
"20500","Horse meat","Carne de animales de las especies caballar, asnal o mular, fresca, ref","Agricultura"," I Animales vivos; productos animales","-0.623197","3355","Creció / Creció","-55253555.090164","0.000000","0.000000","2.623922","-0.430470","1","1.688332","1.067817","0.437666","Recuperación de posiciones","1694","25","0.095963"
"20610","Bovine offal","Despojos comestibles de animales de la especie bovina, frescos o refri","Agricultura"," I Animales vivos; productos animales","-0.230607","2817","Creció / Creció","5279473.595628","16018.119629","0.700126","1.803039","-0.149547","0","1.209157","0.814587","0.415964","Trayectoria productiva","1694","25","0.095963"
"20621","Bovine tongue, frozen","Lenguas de bovinos, congeladas.","Agricultura"," I Animales vivos; productos animales","-0.575717","3284","Decreció / Decreció","-19122584.756831","395029.322917","46.733365","5.072009","-1.406538","0","","","","","1694","25","0.095963"
"20622","Bovine livers, frozen","Higados de bovinos, congelados.","Agricultura"," I Animales vivos; productos animales","-0.661662","3399","Decreció / Decreció","-31033072.505465","1068712.375000","157.586201","4.040022","-0.915018","0","","","","","1694","25","0.095963"
"20629","Bovine offal, frozen","Los demas despojos comestibles de bovinos, congelados.","Agricultura"," I Animales vivos; productos animales","-0.815581","3582","Creció mucho / Creció","-97090577.308743","1361982.604167","22.549929","3.858578","-0.928919","0","","","","","1694","25","0.095963"
"20630","Swine offal","Despojos comestibles de porcinos, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","1.565060","188","Creció / Creció","3180403.674863","0.000000","0.000000","0.309099","1.421165","0","0.657108","0.886716","1.123519","Apuestas ambiciosas","1694","25","0.095963"
