"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp_","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_mendoza","vcr_mendoza","compatibilidad_con_mendoza","valor_estrategico_para_mendoza","indice_recuperacion_de_posiciones_mendoza","indice_oportunidades_cercanas_mendoza","indice_objetivos_factibles_mendoza","indice_apuestas_ambiciosas_mendoza","top_20_criterios_mendoza","empleo","empresas","tasa_fem"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.131425","2648","Creció / Se mantuvo","4238686.866120","73353.082214","0.598397","1.284683","-0.594031","0","0.767329","0.531783","0.085235","","581","191","0.100505"
"10119","Horses, not pure-bred","Los demas caballos vivos.","Agricultura"," I Animales vivos; productos animales","0.257480","2016","Creció mucho / Creció mucho","-10367234.863388","167143.427083","1.688782","0.496186","0.514926","0","","","","","581","191","0.100505"
"10120","Other equine","Asnos, mulos y burdeganos, vivos.","Agricultura"," I Animales vivos; productos animales","-0.606761","3328","Decreció / Decreció","24348.887978","0.000000","0.000000","0.145187","-0.751697","0","-0.109384","-0.229423","-0.446398","","581","191","0.100505"
"10210","Bovine, pure-bred","Bovinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","-0.152846","2685","Decreció / Decreció","7674551.445355","5497.004720","0.059823","1.436618","0.085877","0","1.007523","0.781040","0.431419","","581","191","0.100505"
"10290","Bovine, not pure-bred","Los demas bovinos vivos.","Agricultura"," I Animales vivos; productos animales","-0.467838","3145","Creció / Decreció","54545867.795082","39.933160","0.000071","1.626540","-0.325148","0","1.026765","0.719743","0.224686","","581","191","0.100505"
"10310","Swine, pure-bred","Porcinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","0.428743","1735","Creció / Creció","1694539.527322","0.000000","0.000000","0.409008","-0.572030","0","0.214774","0.167695","-0.027525","","457","56","0.096809"
"10391","Swine < 50 kg, not pure-bred","Los demas porcinos de peso inferior a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.933454","901","Creció / Creció","13490671.868852","0.000000","0.000000","0.362536","-1.591441","0","0.028832","-0.011775","-0.374024","","457","56","0.096809"
"10392","Swine > 50 kg, not pure-bred","Los demas porcinos de peso superior o igual a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.444844","1705","Decreció mucho / Decreció mucho","14286729.158470","844.954142","0.005726","0.658959","0.959904","0","0.697736","0.691372","0.740855","","457","56","0.096809"
"10410","Sheep","Ovinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.083225","3923","Decreció / Decreció","10019052.893443","205.654957","0.001933","2.236426","-1.261438","0","1.204888","0.698030","-0.167526","","581","191","0.100505"
"10420","Goats","Caprinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.529791","4317","Decreció / Decreció","912501.084699","0.000000","0.000000","2.445645","-1.612542","0","1.236464","0.636011","-0.374398","","581","191","0.100505"
"10511","Domestic fowls < 185 g","Pollitos del genero gallus domesticus de peso inferior o igual a 185 g","Agricultura"," I Animales vivos; productos animales","-0.357944","2998","Creció / Creció","8834199.560109","7775.855774","0.074327","1.230485","0.330272","0","0.891599","0.687746","0.428282","","457","56","0.096809"
