"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_misiones","vcr_misiones","compatibilidad_con_misiones","valor_estrategico_para_misiones","indice_recuperacion_de_posiciones_misiones","indice_oportunidades_cercanas_misiones","indice_objetivos_factibles_misiones","indice_apuestas_ambiciosas_misiones","top_20_criterios_misiones","empleo","empresas","tasa_fem"
"81040","Cranberries","Arandanos o murtones y demas frutos del genero vaccinium frescos","Agricultura"," II Productos vegetales","-0.91937","3721","Creció mucho / Creció mucho","-62171859.77049","45330.39583","0.56338","2.15416","-0.73447","0","1.26908","0.81729","0.08589","Trayectoria productiva","180","18","0.17684"
"120799","Oil seeds & oleaginous fruits, nes","Las demas semillas incluso quebrantados.","Agricultura"," II Productos vegetales","-1.25917","4090","Creció / Decreció","-7124997.90984","19979.87814","0.68297","1.96614","-0.53643","0","1.14310","0.69544","0.03366","Trayectoria productiva","26","7","0.11081"
"121490","Forage products, roots","Los demas productos forrajeros similares","Agricultura"," II Productos vegetales","-1.02607","3849","Creció mucho / Creció","3420930.08197","37699.79818","0.60298","1.05825","-0.62501","0","0.51316","0.22057","-0.22030","Trayectoria productiva","26","7","0.11081"
"130239","Mucilages & thickeners nes","Los demas mucilagos y espesativos derivados de los vegetales, incluso","Agricultura"," II Productos vegetales","-0.80484","3564","Creció / Creció","4332238.10656","21378.31040","0.71170","-0.44210","-0.29049","0","-0.44806","-0.47675","-0.46456","Trayectoria productiva","232","47","0.11790"
"140420","Cotton linters","Linteres de algodon.","Agricultura"," II Productos vegetales","-1.97852","4541","Decreció / Decreció","376090.42077","1377.62384","0.54720","1.84844","-1.60623","0","0.77481","0.21938","-0.66290","Trayectoria productiva","s.d.","s.d.","0.15062"
"210130","Chicory, coffee substitutes","Achicoria tostada y demas sucedaneos del cafe tostado y sus extractos,","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.22832","2083","Decreció / Decreció","269862.54645","1884.80245","0.54457","1.02767","0.64726","0","0.87166","0.77270","0.65665","Trayectoria productiva","7766","189","0.23891"
"251820","Dolomite, calcined","Dolomita calcinada o sinterizada.","Minerales"," V Productos minerales","-0.43172","3110","Se mantuvo / Decreció","270806.41530","2738.85417","0.93484","0.57439","-0.37204","0","0.28449","0.13656","-0.10303","Trayectoria productiva","s.d.","s.d.","0.08626"
"252010","Gypsum, anhydride","Yeso natural; anhidrita.","Minerales"," V Productos minerales","-1.59928","4371","Creció / Creció","3051977.92350","10054.78440","0.55139","1.38263","-1.16377","0","0.57516","0.14965","-0.50873","Trayectoria productiva","s.d.","s.d.","0.08673"
"252020","Plasters","Yesos calcinados","Minerales"," V Productos minerales","-1.14402","3978","Se mantuvo / Decreció","1969650.18852","6791.98151","0.51922","0.61317","-0.42096","0","0.23063","0.00320","-0.29148","Trayectoria productiva","s.d.","s.d.","0.08626"
"271112","Propane, liquefied","Propano, licuado.","Minerales"," V Productos minerales","-1.55499","4337","Creció mucho / Creció mucho","134265181.78142","619083.62500","0.56798","2.64652","-2.07588","0","1.28189","0.62562","-0.52894","Trayectoria productiva","s.d.","s.d.","0.16803"
"271113","Butanes, liquefied","Butanos, licuado.","Minerales"," V Productos minerales","-1.51704","4310","Decreció mucho / Decreció mucho","-8854675.70765","422998.08333","0.92356","1.74692","-1.72818","0","0.72550","0.22535","-0.63286","Trayectoria productiva","s.d.","s.d.","0.16803"
"842920","Graders & levellers, self-propelled","Niveladoras.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","-1.48195","4286","Decreció / Decreció","11866360.35519","38108.91019","0.83273","1.27150","-1.10176","0","0.52151","0.12750","-0.48483","Trayectoria productiva","s.d.","s.d.","0.08398"
