"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_san_juan","vcr_san_juan","compatibilidad_con_san_juan","valor_estrategico_para_san_juan","indice_recuperacion_de_posiciones_san_juan","indice_oportunidades_cercanas_san_juan","indice_objetivos_factibles_san_juan","indice_apuestas_ambiciosas_san_juan","top_20_criterios_san_juan","empleo","empresas","tasa_fem"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.13143","2648","Creció / Se mantuvo","4238686.86612","0.00000","0.00000","1.19981","-0.57633","0","0.71146","0.37848","0.06774","","235","25","0.10050"
"10119","Horses, not pure-bred","Los demas caballos vivos.","Agricultura"," I Animales vivos; productos animales","0.25748","2016","Creció mucho / Creció mucho","-10367234.86339","0.00000","0.00000","0.69821","0.52136","0","0.61877","0.57020","0.50845","","235","25","0.10050"
"10120","Other equine","Asnos, mulos y burdeganos, vivos.","Agricultura"," I Animales vivos; productos animales","-0.60676","3328","Decreció / Decreció","24348.88798","0.00000","0.00000","0.31496","-0.75266","0","0.00926","-0.19697","-0.39590","","235","25","0.10050"
"10210","Bovine, pure-bred","Bovinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","-0.15285","2685","Decreció / Decreció","7674551.44536","0.00000","0.00000","1.34515","0.11208","0","0.94874","0.68888","0.41577","","235","25","0.10050"
"10290","Bovine, not pure-bred","Los demas bovinos vivos.","Agricultura"," I Animales vivos; productos animales","-0.46784","3145","Creció / Decreció","54545867.79508","0.00000","0.00000","1.66860","-0.30039","0","1.06116","0.65899","0.24844","","235","25","0.10050"
"10310","Swine, pure-bred","Porcinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","0.42874","1735","Creció / Creció","1694539.52732","0.00000","0.00000","-0.04072","-0.55984","0","-0.09760","-0.15200","-0.15696","","227","13","0.09681"
"10391","Swine < 50 kg, not pure-bred","Los demas porcinos de peso inferior a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.93345","901","Creció / Creció","13490671.86885","0.00000","0.00000","0.09465","-1.58855","0","-0.15811","-0.36865","-0.45309","","227","13","0.09681"
"10392","Swine > 50 kg, not pure-bred","Los demas porcinos de peso superior o igual a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.44484","1705","Decreció mucho / Decreció mucho","14286729.15847","0.00000","0.00000","0.31942","0.98496","0","0.46507","0.57118","0.65027","","227","13","0.09681"
"10410","Sheep","Ovinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.08322","3923","Decreció / Decreció","10019052.89344","0.00000","0.00000","2.51563","-1.23958","0","1.40470","0.66148","-0.07393","","235","25","0.10050"
"10420","Goats","Caprinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.52979","4317","Decreció / Decreció","912501.08470","0.00000","0.00000","2.64366","-1.59270","0","1.37904","0.53491","-0.30607","","235","25","0.10050"
"10511","Domestic fowls < 185 g","Pollitos del genero gallus domesticus de peso inferior o igual a 185 g","Agricultura"," I Animales vivos; productos animales","-0.35794","2998","Creció / Creció","8834199.56011","0.00000","0.00000","1.02200","0.35804","0","0.75121","0.58262","0.37823","","227","13","0.09681"
"10519","Other poultry < 185 g","Los demas pollitos de peso inferior o igual 185 g., vivos","Agricultura"," I Animales vivos; productos animales","0.51163","1611","Se mantuvo / Decreció","1614155.79235","0.00000","0.00000","0.00967","0.11881","0","0.08170","0.12316","0.18427","","227","13","0.09681"
"10591","Domestic fowls > 185 g","Pollitos del genero gallus domesticus de peso superior a 185 g","Agricultura"," I Animales vivos; productos animales","0.17437","2191","Decreció / Decreció","8481154.23497","0.00000","0.00000","0.21137","0.38868","0","0.24313","0.26788","0.28191","","227","13","0.09681"
"10599","Other poultry > 185 g","Los demas gallos, gallinas, patos, pavos de peso superior a 185 g","Agricultura"," I Animales vivos; productos animales","-0.14484","2673","Decreció / Decreció","1916915.23497","0.00000","0.00000","0.69571","-0.01129","0","0.47026","0.32218","0.16742","","227","13","0.09681"
"10600","Non-farm animals","Los demas animales vivos.","Agricultura"," I Animales vivos; productos animales","-1.41432","4229","Decreció / Decreció","4574940.22404","0.00000","0.00000","1.89236","-0.90747","0","1.00172","0.41642","-0.19423","","227","13","0.09681"
