"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_santiago_del_estero","vcr_santiago_del_estero","compatibilidad_con_santiago_del_estero","valor_estrategico_para_santiago_del_estero","indice_recuperacion_de_posiciones_santiago_del_estero","indice_oportunidades_cercanas_santiago_del_estero","indice_objetivos_factibles_santiago_del_estero","indice_apuestas_ambiciosas_santiago_del_estero","top_20_criterios_santiago_del_estero","empleo","empresas","tasa_fem"
"100590","Maize except seed corn","Los demas maices","Agricultura"," II Productos vegetales","-0.96410","3777","Creció mucho / Creció mucho","-4081880436.59016","390121040.19503","250.73429","3.80921","-1.19399","0","","","","","1667","326","0.11081"
"120100","Soya beans","Habas de soja, incluso quebrantadas.","Agricultura"," II Productos vegetales","-0.79792","3556","Creció mucho / Decreció mucho","-1903924637.76503","152098646.79167","51.81890","6.49703","-1.99576","0","","","","","1667","326","0.11081"
"100190","Wheat & meslin","Los demas trigo y morcajo o tranquillon","Agricultura"," II Productos vegetales","-0.29715","2912","Decreció mucho / Decreció mucho","-1915280696.21585","102628222.89356","57.28839","3.06802","-0.48334","0","","","","","1667","326","0.11081"
"71333","Kidney beans, dried","Alubia comun, seca desvainada","Agricultura"," II Productos vegetales","-1.80396","4479","Decreció mucho / Decreció","-259769021.76230","68180919.00000","853.61702","4.08833","-1.06335","0","","","","","1667","326","0.11081"
"520100","Cotton, not carded/combed","Algodon sin cardar ni peinar.","Textiles"," XI Textiles y artículos textiles","-2.31678","4632","Creció mucho / Creció mucho","1038789.76230","56377387.41667","80.40401","5.42345","-1.82539","0","","","","","1667","326","0.11081"
"71320","Chickpeas, dried","Garbanzos secos","Agricultura"," II Productos vegetales","-1.35083","4180","Creció mucho / Creció","-91047667.53279","25838566.43213","281.78525","3.97249","-1.28615","0","","","","","1667","326","0.11081"
"20230","Boneless beef, frozen","Carne de bovinos deshuesada, congelada.","Agricultura"," I Animales vivos; productos animales","-0.75949","3505","Creció mucho / Creció mucho","-1015280903.01913","20057056.75000","18.13398","4.94471","-1.60446","0","","","","","527","14","0.09596"
"230400","Soya-bean oil-cake","Tortas y demas residuos solidos de la extraccion del aceite de soya, i","Agricultura"," IV Alimentos preparados, bebidas y tabaco","-0.87988","3672","Decreció mucho / Decreció mucho","-8163499898.48361","17598246.84277","14.14826","4.44802","-1.25650","0","","","","","218","8","0.15062"
"230990","Animal feed preparations","Las demas preparaciones del tipo utilizadas para la alimentacion anima","Agricultura"," IV Alimentos preparados, bebidas y tabaco","-0.59901","3316","Creció mucho / Creció mucho","-12662095.71311","13451474.78786","17.94522","1.40411","0.10782","0","","","","","s.d.","s.d.","0.15719"
"20130","Boneless beef","Carne de bovinos deshuesada, fresca o refrigerada.","Agricultura"," I Animales vivos; productos animales","-0.23232","2819","Creció mucho / Creció mucho","-527404279.37432","8456159.66667","10.22105","3.71147","-0.70208","0","","","","","527","14","0.09596"
