Código HS 1992,Product Name EN,Nombre Producto ES,Sección Atlas,Sección 2 dígitos,Índice de complejidad de producto (ICP),Ranking de complejidad producto,Tendencia mercado 2014-2019 (nominal / share),Potencial exportador,FOB Tierra del Fuego,VCR Tierra del Fuego,Compatibilidad con Tierra del Fuego,Valor estratégico para Tierra del Fuego,Indice Recuperacion de posiciones - Tierra del Fuego,Indice Oportunidades cercanas - Tierra del Fuego,Indice Objetivos factibles - Tierra del Fuego,Indice Apuestas ambiciosas - Tierra del Fuego,Top 20 criterios Tierra del Fuego,Empleo 2021,Empresas 2020,Tasa fem
10111,"Horses, pure-bred",Caballos reproductores de raza pura.,Agricultura, I Animales vivos; productos animales,-0.131425173799098,2648,Creció / Se mantuvo,4238686.86612022,0.0,0.0,0.584762123678167,-0.565509383928207,0,0.283089092409166,0.15395678728112,-0.111906879114018,,292,39,0.100504803248634
10119,"Horses, not pure-bred",Los demas caballos vivos.,Agricultura, I Animales vivos; productos animales,0.257479788150311,2016,Creció mucho / Creció mucho,-10367234.863388,0.0,0.0,0.349256763667951,0.531018918046811,1,0.376431496991959,0.376341907159138,0.408105489259028,Recuperación de posiciones,292,39,0.100504803248634
10120,Other equine,"Asnos, mulos y burdeganos, vivos.",Agricultura, I Animales vivos; productos animales,-0.606761100630633,3328,Decreció / Decreció,24348.8879781421,0.0,0.0,-0.320023078773356,-0.752189538935792,0,-0.435130172991571,-0.48541229818542,-0.586182491310771,,292,39,0.100504803248634
10210,"Bovine, pure-bred","Bovinos reproductores de raza pura, vivos.",Agricultura, I Animales vivos; productos animales,-0.152845716927052,2685,Decreció / Decreció,7674551.44535519,0.0,0.0,0.666345233139176,0.132656579309876,0,0.477688407366693,0.369084879668606,0.221387601399434,,292,39,0.100504803248634
10290,"Bovine, not pure-bred",Los demas bovinos vivos.,Agricultura, I Animales vivos; productos animales,-0.467837521587586,3145,Creció / Decreció,54545867.795082,0.0,0.0,0.496309982447984,-0.276326528847429,0,0.245367929785344,0.110321353817017,-0.0924133236438446,,292,39,0.100504803248634
10310,"Swine, pure-bred","Porcinos reproductores de raza pura, vivos.",Agricultura, I Animales vivos; productos animales,0.428743101585716,1735,Creció / Creció,1694539.52732241,0.0,0.0,-0.0564774127688149,-0.562882023702186,0,-0.109236283520036,-0.0860344626312515,-0.163054359100199,,s.d.,s.d.,0.0968090692352879
10391,"Swine < 50 kg, not pure-bred","Los demas porcinos de peso inferior a 50 kg., vivos.",Agricultura, I Animales vivos; productos animales,0.933454126099224,901,Creció / Creció,13490671.8688525,0.0,0.0,-0.0356251444466057,-1.59415378272305,0,-0.250422945047312,-0.231441449906551,-0.494693214034549,,s.d.,s.d.,0.0968090692352879
10392,"Swine > 50 kg, not pure-bred","Los demas porcinos de peso superior o igual a 50 kg., vivos.",Agricultura, I Animales vivos; productos animales,0.444843651687953,1705,Decreció mucho / Decreció mucho,14286729.15847,0.0,0.0,0.0250043670909516,0.99688638315969,0,0.261364698764399,0.351942728027537,0.567311095471134,,s.d.,s.d.,0.0968090692352879
10410,Sheep,Ovinos vivos.,Agricultura, I Animales vivos; productos animales,-1.08322475399011,3923,Decreció / Decreció,10019052.8934426,0.0,0.0,0.0435310730452211,-1.21224489943879,0,-0.320299704155114,-0.495764085482847,-0.803257071331415,,292,39,0.100504803248634
10420,Goats,Caprinos vivos.,Agricultura, I Animales vivos; productos animales,-1.52979119794806,4317,Decreció / Decreció,912501.084699454,0.0,0.0,0.919437118998509,-1.57464499199706,0,0.175697865104737,-0.193929072139698,-0.815206910186141,,292,39,0.100504803248634
