"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp_","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_tucuman","vcr_tucuman","compatibilidad_con_tucuman","valor_estrategico_para_tucuman","indice_recuperacion_de_posiciones_tucuman","indice_oportunidades_cercanas_tucuman","indice_objetivos_factibles_tucuman","indice_apuestas_ambiciosas_tucuman","top_20_criterios_tucuman","empleo","empresas","tasa_fem"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.131425","2648","Creció / Se mantuvo","4238686.866120","0.000000","0.000000","0.935422","-0.579664","0","0.525720","0.343281","-0.013078","","496","83","0.100505"
"10119","Horses, not pure-bred","Los demas caballos vivos.","Agricultura"," I Animales vivos; productos animales","0.257480","2016","Creció mucho / Creció mucho","-10367234.863388","0.000000","0.000000","0.456004","0.518031","0","0.448557","0.431806","0.434285","","496","83","0.100505"
"10120","Other equine","Asnos, mulos y burdeganos, vivos.","Agricultura"," I Animales vivos; productos animales","-0.606761","3328","Decreció / Decreció","24348.887978","0.000000","0.000000","0.546081","-0.762386","0","0.169103","-0.011604","-0.330940","","496","83","0.100505"
"10210","Bovine, pure-bred","Bovinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","-0.152846","2685","Decreció / Decreció","7674551.445355","0.000000","0.000000","1.331728","0.101213","0","0.937167","0.727184","0.406853","","496","83","0.100505"
"10290","Bovine, not pure-bred","Los demas bovinos vivos.","Agricultura"," I Animales vivos; productos animales","-0.467838","3145","Creció / Decreció","54545867.795082","0.000000","0.000000","1.863815","-0.316997","0","1.194487","0.852281","0.299536","","496","83","0.100505"
"10310","Swine, pure-bred","Porcinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","0.428743","1735","Creció / Creció","1694539.527322","0.000000","0.000000","-0.012598","-0.566019","0","-0.079148","-0.062685","-0.151302","","140","18","0.096809"
"10391","Swine < 50 kg, not pure-bred","Los demas porcinos de peso inferior a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.933454","901","Creció / Creció","13490671.868852","0.000000","0.000000","0.061524","-1.593965","0","-0.182381","-0.177962","-0.465463","","140","18","0.096809"
"10392","Swine > 50 kg, not pure-bred","Los demas porcinos de peso superior o igual a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.444844","1705","Decreció mucho / Decreció mucho","14286729.158470","0.000000","0.000000","0.302359","0.977360","0","0.451607","0.499606","0.641730","","140","18","0.096809"
"10410","Sheep","Ovinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.083225","3923","Decreció / Decreció","10019052.893443","0.000000","0.000000","1.871951","-1.242939","0","0.953456","0.502194","-0.268543","","496","83","0.100505"
"10420","Goats","Caprinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.529791","4317","Decreció / Decreció","912501.084699","0.000000","0.000000","2.281793","-1.599339","0","1.124408","0.549193","-0.417613","","496","83","0.100505"
"10511","Domestic fowls < 185 g","Pollitos del genero gallus domesticus de peso inferior o igual a 185 g","Agricultura"," I Animales vivos; productos animales","-0.357944","2998","Creció / Creció","8834199.560109","0.000000","0.000000","1.163535","0.344520","0","0.847584","0.654486","0.414609","","140","18","0.096809"
